Ciclos,cant_clock
1, 9404558
2, 8118390
3, 7940924
4, 8230124
5, 8032580
6, 9049780
7, 7958340
8, 7923584
9, 7943376
10, 8096952
11, 7954368
12, 7933832
13, 8066188
14, 7944120
15, 7948700
16, 7922624
17, 7928724
18, 8322228
19, 8456176
20, 7935768
21, 7933140
22, 7929536
23, 7942744
24, 7921220
25, 7927188
26, 7928432
27, 7931088
28, 7927380
29, 7927800
30, 7928824
31, 7920236
32, 7928400
33, 7926844
34, 7930456
35, 7927304
36, 7929060
37, 7928784
38, 7922032
39, 7924812
40, 7927708
41, 7928020
42, 8064680
43, 7935668
44, 7929368
45, 7927452
46, 7919620
47, 7926208
48, 7925656
49, 7929516
50, 7936648
51, 7936284
52, 7955608
53, 7927640
54, 7928376
55, 7930748
56, 7926540
57, 7932436
58, 7926460
59, 7931284
60, 7929388
61, 7918760
62, 7922248
63, 7932708
64, 7930728
65, 7931056
66, 7933108
67, 7929340
68, 7926204
69, 7931892
70, 8035796
71, 8027108
72, 7939444
73, 7928472
74, 7957264
75, 7925904
76, 7954288
77, 7929080
78, 7930128
79, 7926556
80, 7932608
81, 7939684
82, 7928888
83, 7925308
84, 7927068
85, 7931684
86, 7929864
87, 7929156
88, 7934388
89, 7929848
90, 7922120
91, 7927612
92, 7930692
93, 7928500
94, 7927448
95, 7932892
96, 7927832
97, 7919468
98, 7926420
99, 7933508
100, 7928688
101, 8010684
102, 7933684
103, 7927000
104, 7926800
105, 7920912
106, 7929472
107, 7928016
108, 7927172
109, 7931132
110, 7928828
111, 7928108
112, 7921820
113, 7926680
114, 7928380
115, 7927556
116, 7928544
117, 7927744
118, 7927044
119, 7930972
120, 7920356
121, 7927920
122, 7931364
123, 7929804
124, 7938016
125, 7936880
126, 7931596
127, 7922076
128, 7926180
129, 7925932
130, 7930860
131, 8010788
132, 7928320
133, 7926420
134, 7923584
135, 7928412
136, 7928436
137, 7932868
138, 7929848
139, 7956548
140, 7939504
141, 7928952
142, 7918680
143, 7932968
144, 7944476
145, 7933948
146, 7930596
147, 7929908
148, 7931760
149, 7926184
150, 7925376
151, 7925440
152, 7926696
153, 7986684
154, 7930780
155, 7929756
156, 7919568
157, 7931832
158, 7929216
159, 7925692
160, 8015052
161, 7934164
162, 7935064
163, 7929452
164, 7920988
165, 7932912
166, 7928972
167, 7926856
168, 7930656
169, 7929992
170, 8894384
171, 7953636
172, 7924512
173, 7940284
174, 8102432
175, 7943992
176, 7930768
177, 7931472
178, 7926560
179, 7932664
180, 7935180
181, 7929320
182, 7927664
183, 7937820
184, 7955664
185, 7951888
186, 7952236
187, 7931524
188, 7949332
189, 7939704
190, 8061760
191, 7929320
192, 7932768
193, 7928892
194, 7923992
195, 7928392
196, 7930656
197, 7927092
198, 7932924
199, 8803140
200, 7945576
