Ciclos,cant_clock
1, 9983224
2, 9904540
3, 10612324
4, 9897840
5, 9855520
6, 10012760
7, 9954716
8, 9905632
9, 9848440
10, 10064000
11, 9888828
12, 9829008
13, 9855684
14, 9826668
15, 9821384
16, 9821912
17, 10437276
18, 9865828
19, 9822900
20, 9822808
21, 9825076
22, 9825696
23, 9823904
24, 9836200
25, 9822272
26, 9822116
27, 9821568
28, 9813708
29, 9821796
30, 9821312
31, 9823464
32, 9820064
33, 9823844
34, 9954112
35, 9831312
36, 9822260
37, 9818648
38, 9828100
39, 9824104
40, 9857076
41, 9831036
42, 9824980
43, 9825516
44, 9819740
45, 9825840
46, 9818912
47, 9822820
48, 9821812
49, 9823132
50, 9816884
51, 9824708
52, 9828120
53, 9823524
54, 9824532
55, 9827288
56, 9828272
57, 9822380
58, 9909720
59, 9828768
60, 9826712
61, 9822680
62, 9825216
63, 9923192
64, 9837624
65, 9818372
66, 9861824
67, 9831724
68, 9849092
69, 9830856
70, 9823612
71, 9828512
72, 9876324
73, 9824116
74, 9818404
75, 9827136
76, 9828912
77, 9825824
78, 9824180
79, 9825124
80, 9834384
81, 9823520
82, 9929924
83, 9821160
84, 9823952
85, 9828580
86, 9823064
87, 9821432
88, 9818796
89, 9824540
90, 9824632
91, 9820592
92, 9820988
93, 9819096
94, 9829716
95, 9824000
96, 9827508
97, 9820688
98, 9824464
99, 9824532
100, 9825424
101, 9823264
102, 9823316
103, 9819652
104, 9819920
105, 9826156
106, 9913016
107, 9826924
108, 9825956
109, 9821736
110, 9826684
111, 9849184
112, 9829700
113, 9827412
114, 9815336
115, 9820592
116, 9821580
117, 9817480
118, 9823508
119, 9821572
120, 9839472
121, 9828584
122, 9831372
123, 9823700
124, 9822464
125, 9827084
126, 9828612
127, 9827144
128, 9827264
129, 9928128
130, 9824140
131, 9826012
132, 9821688
133, 9815480
134, 9820232
135, 10129072
136, 10011692
137, 9850392
138, 9934392
139, 9852036
140, 9841024
141, 9832784
142, 9837756
143, 9826528
144, 9828804
145, 9822132
146, 9825292
147, 9824100
148, 9822372
149, 9823088
150, 9825044
151, 9821108
152, 9819184
153, 9820916
154, 9832156
155, 9945832
156, 9830864
157, 9824204
158, 9819020
159, 9826768
160, 9823312
161, 9824216
162, 9823112
163, 9827768
164, 9826344
165, 9826432
166, 9819528
167, 9834176
168, 9827544
169, 9820124
170, 9827652
171, 9821388
172, 9824792
173, 9822592
174, 9824492
175, 9885776
176, 9832588
177, 9922852
178, 9839340
179, 9823344
180, 9819964
181, 9829372
182, 9825068
183, 9828732
184, 9818008
185, 9819864
186, 9824104
187, 9824364
188, 9821696
189, 9827108
190, 9824112
191, 9825652
192, 9832804
193, 9821488
194, 9822612
195, 9821856
196, 9825620
197, 9824412
198, 9824556
199, 9822096
200, 9885560
