Ciclos,cant_clock
1, 2686104
2, 2317004
3, 2333388
4, 2308260
5, 2304440
6, 2416956
7, 3323652
8, 2617308
9, 2539804
10, 2449212
11, 2321472
12, 2303704
13, 2728424
14, 2761956
15, 2384784
16, 2314604
17, 2342540
18, 2307940
19, 2302912
20, 2302484
21, 2325424
22, 2305228
23, 2302940
24, 2303156
25, 2324412
26, 2306968
27, 2302224
28, 2302988
29, 2479644
30, 2321784
31, 2303368
32, 2303708
33, 2335152
34, 2307700
35, 2313864
36, 2304348
37, 2326544
38, 2305200
39, 2312676
40, 2305864
41, 2323756
42, 2304848
43, 2312552
44, 2303892
45, 2325368
46, 2317508
47, 2315320
48, 2304560
49, 2361152
50, 2307472
51, 2313168
52, 2304600
53, 2324780
54, 2305152
55, 2301256
56, 2303228
57, 2313416
58, 2303944
59, 2303424
60, 2303284
61, 2310248
62, 2303476
63, 2302164
64, 2301280
65, 2311012
66, 2303652
67, 2303492
68, 2301892
69, 2312680
70, 2321588
71, 3110036
72, 2469244
73, 2471552
74, 3977608
75, 3905388
76, 3890296
77, 3859764
78, 3909256
79, 3869848
80, 3881420
81, 3873664
82, 3901432
83, 3868884
84, 3896156
85, 3941024
86, 3872728
87, 3903304
88, 3892344
89, 3965456
90, 4021032
91, 3170432
92, 2434068
93, 2382192
94, 2922300
95, 3946736
96, 2528976
97, 2838064
98, 3708028
99, 2980588
100, 2393476
101, 2492880
102, 2558120
103, 2712164
104, 3733900
105, 3130468
106, 2380144
107, 2324124
108, 2353072
109, 2306456
110, 2302532
111, 2301532
112, 2359984
113, 2382544
114, 2306884
115, 2374228
116, 2398600
117, 2353408
118, 2356896
119, 2313276
120, 2333696
121, 2305096
122, 2319616
123, 2306900
124, 2323636
125, 2305180
126, 2302720
127, 2302052
128, 2325276
129, 2393980
130, 2313480
131, 2302680
132, 2331120
133, 2306352
134, 2341264
135, 2351348
136, 2331628
137, 2305212
138, 2303272
139, 2301512
140, 2324292
141, 2305188
142, 2303104
143, 2302256
144, 2327912
145, 2317276
146, 2304676
147, 2301864
148, 2316476
149, 2304132
150, 2301404
151, 2303132
152, 2311512
153, 2304336
154, 2302508
155, 2302724
156, 2314900
157, 2302960
158, 2302212
159, 2301988
160, 2312956
161, 2302820
162, 2303108
163, 2302080
164, 2310816
165, 2303792
166, 2303064
167, 2302280
168, 2310812
169, 2302472
170, 2303580
171, 2301396
172, 2312552
173, 2302620
174, 2303404
175, 2301612
176, 2309784
177, 2303812
178, 2301680
179, 2302648
180, 2310792
181, 2302408
182, 2302820
183, 2366896
184, 2306844
185, 2303644
186, 2301800
187, 2312396
188, 2303900
189, 2300856
190, 2302220
191, 2309908
192, 2304744
193, 2302008
194, 2303220
195, 2311108
196, 2303268
197, 2302864
198, 2301744
199, 2311132
200, 2302604
