Ciclos,cant_clock
1, 1749912
2, 1751620
3, 1705969
4, 1587672
5, 1543232
6, 1540556
7, 1540920
8, 1668672
9, 1545928
10, 2297432
11, 2237536
12, 1556232
13, 1541160
14, 1540464
15, 1588780
16, 1542976
17, 1943096
18, 2598668
19, 1650556
20, 1716404
21, 1554196
22, 1541080
23, 1540352
24, 1540996
25, 1575488
26, 1542992
27, 1540164
28, 1540436
29, 1539416
30, 1540440
31, 1663060
32, 1545744
33, 1584468
34, 1542976
35, 1646612
36, 1668164
37, 2633452
38, 1559544
39, 1540908
40, 1540860
41, 1540832
42, 1662900
43, 1572976
44, 1542696
45, 1540904
46, 1540696
47, 1540592
48, 1563920
49, 1542332
50, 1540144
51, 1539920
52, 1540876
53, 1540288
54, 1657224
55, 1580328
56, 1543856
57, 1540044
58, 1539692
59, 1540832
60, 1566580
61, 1542632
62, 1540712
63, 1540656
64, 1540096
65, 1541100
66, 1619692
67, 1543988
68, 1540680
69, 1539684
70, 1540332
71, 1541096
72, 2438212
73, 2777512
74, 1547500
75, 1542380
76, 1569864
77, 1542468
78, 1572300
79, 1541312
80, 1541064
81, 1540184
82, 1555336
83, 1541496
84, 1540116
85, 1540688
86, 1540112
87, 1540280
88, 1560588
89, 1542028
90, 1540772
91, 1540524
92, 1540408
93, 1541568
94, 1598444
95, 1542956
96, 1541148
97, 1540588
98, 1541036
99, 1540768
100, 1563592
101, 1542780
102, 1540472
103, 1540964
104, 1845948
105, 1577640
106, 1683492
107, 1544396
108, 1541748
109, 1540760
110, 1540112
111, 1541076
112, 1556992
113, 1542320
114, 1540152
115, 1540564
116, 1540000
117, 1540428
118, 1560868
119, 1542440
120, 1540788
121, 1541680
122, 1540524
123, 1556164
124, 1541528
125, 1540496
126, 1540704
127, 1541388
128, 1540544
129, 1617832
130, 1644112
131, 1543476
132, 1540400
133, 1540604
134, 1540300
135, 1563428
136, 1542264
137, 1539888
138, 1540824
139, 1540284
140, 1540620
141, 1561812
142, 1542436
143, 1540732
144, 1540420
145, 1541424
146, 1540428
147, 1559320
148, 1543448
149, 1543280
150, 1542760
151, 1542796
152, 1542944
153, 1577916
154, 1541896
155, 1540700
156, 1541268
157, 1540420
158, 1540508
159, 1553576
160, 1541408
161, 1540492
162, 1539696
163, 1540896
164, 1540008
165, 1549548
166, 1541124
167, 1540724
168, 1540324
169, 1540904
170, 1540628
171, 1548040
172, 1540996
173, 1540296
174, 1541260
175, 1540968
176, 1541524
177, 1550088
178, 1541248
179, 1540436
180, 1540808
181, 1540656
182, 1585020
183, 1555148
184, 1541520
185, 1540060
186, 1540740
187, 1541328
188, 1540868
189, 1548968
190, 1541340
191, 1540544
192, 1540700
193, 1540900
194, 1540304
195, 1549144
196, 1541432
197, 1540464
198, 1540036
199, 1539988
200, 1541280
