Ciclos,cant_clock
1, 1523992
2, 1495964
3, 1490296
4, 1481236
5, 1362792
6, 1360016
7, 1396032
8, 1360368
9, 1360244
10, 1359412
11, 1406916
12, 1413460
13, 1410868
14, 1381892
15, 1424888
16, 1561136
17, 2554332
18, 1897364
19, 1384696
20, 1406420
21, 1364692
22, 1393308
23, 1361324
24, 1359740
25, 1359440
26, 1360616
27, 1359048
28, 1358976
29, 1369252
30, 1360856
31, 1360360
32, 1359952
33, 1471884
34, 1407016
35, 1363132
36, 1378080
37, 1360560
38, 1359360
39, 1426764
40, 1526568
41, 1397424
42, 1466400
43, 1363024
44, 1360360
45, 1360324
46, 1358684
47, 1359216
48, 1360004
49, 1374852
50, 1360028
51, 1479872
52, 1361224
53, 1359344
54, 1359068
55, 1359164
56, 1371496
57, 1360444
58, 1359296
59, 1359620
60, 1359408
61, 1494968
62, 1389608
63, 1360912
64, 1360216
65, 1359132
66, 1359304
67, 1359160
68, 1359876
69, 1369852
70, 1360808
71, 1360128
72, 1359384
73, 1358548
74, 1359808
75, 1359340
76, 1368384
77, 1360512
78, 1359880
79, 1359496
80, 1360132
81, 1359112
82, 1359468
83, 1369108
84, 1359244
85, 1360148
86, 1360640
87, 1358376
88, 1359416
89, 1392548
90, 1360896
91, 1359656
92, 1359684
93, 1359392
94, 1649124
95, 1870728
96, 1507704
97, 1365944
98, 1359476
99, 1359340
100, 1360312
101, 1358956
102, 1377576
103, 1359872
104, 1358948
105, 1359000
106, 1359924
107, 1359344
108, 1359944
109, 1368360
110, 1360256
111, 1360776
112, 1359400
113, 1358216
114, 1359956
115, 1359848
116, 1368176
117, 1360100
118, 1359700
119, 1359956
120, 1359548
121, 1359768
122, 1368788
123, 1359356
124, 1359648
125, 1359164
126, 1360356
127, 1360352
128, 1359512
129, 1367104
130, 1360248
131, 1359604
132, 1359332
133, 1359136
134, 1359576
135, 1359316
136, 1367092
137, 1359792
138, 1360308
139, 1359116
140, 1359752
141, 1359644
142, 1367540
143, 1360264
144, 1358768
145, 1360848
146, 1358856
147, 1359312
148, 1358936
149, 1367212
150, 1360676
151, 1359412
152, 1359516
153, 1358844
154, 1359052
155, 1359532
156, 1366660
157, 1360032
158, 1359608
159, 1359272
160, 1359240
161, 1359688
162, 1359400
163, 1369000
164, 1359516
165, 1360188
166, 1359508
167, 1359808
168, 1358904
169, 1367176
170, 1359320
171, 1360296
172, 1359168
173, 1359280
174, 1359380
175, 1360352
176, 1368572
177, 1360396
178, 1358780
179, 1359976
180, 1358960
181, 1359216
182, 1359108
183, 1377724
184, 1361100
185, 1359808
186, 1359088
187, 1359908
188, 1360032
189, 1359128
190, 1367844
191, 1359972
192, 1359956
193, 1359040
194, 1367240
195, 1360180
196, 1370388
197, 1361272
198, 1359800
199, 1359728
200, 1359924
