Ciclos,cant_clock
1, 7816722
2, 7554722
3, 7637412
4, 9229868
5, 7728636
6, 7501964
7, 7604768
8, 7595896
9, 7684920
10, 7501868
11, 7485968
12, 7586532
13, 7488792
14, 7487324
15, 7497612
16, 7878416
17, 7568736
18, 7488296
19, 7473080
20, 7486728
21, 7489576
22, 7491144
23, 7494188
24, 7490532
25, 7475668
26, 7487192
27, 7488444
28, 7481716
29, 8313776
30, 7497836
31, 7496640
32, 7485952
33, 7491028
34, 7485368
35, 7480936
36, 7473332
37, 7483540
38, 7534896
39, 7495720
40, 7488816
41, 7477980
42, 7484836
43, 7487192
44, 7483656
45, 7482128
46, 7481384
47, 7473340
48, 7483568
49, 7482624
50, 7479540
51, 7481860
52, 7480172
53, 7481600
54, 7546784
55, 7486420
56, 7480276
57, 7490484
58, 7479660
59, 7486800
60, 7488540
61, 7488212
62, 7488808
63, 7473896
64, 7482356
65, 7485144
66, 7485520
67, 7488476
68, 7471580
69, 7481928
70, 7745252
71, 7490608
72, 7487124
73, 7489712
74, 7478184
75, 7480228
76, 7482576
77, 7484560
78, 7485588
79, 7482288
80, 7481184
81, 7479904
82, 7482724
83, 7481972
84, 7486144
85, 7474764
86, 7485004
87, 7492004
88, 7485452
89, 7485636
90, 7471796
91, 7480616
92, 7478460
93, 7488352
94, 7487732
95, 7489892
96, 7480112
97, 7483412
98, 7500620
99, 7488320
100, 7487364
101, 7478272
102, 7492716
103, 7489096
104, 7485860
105, 7481836
106, 7486204
107, 7474416
108, 7484816
109, 7485220
110, 7479312
111, 7486536
112, 7478720
113, 7488524
114, 7481784
115, 7486824
116, 7481236
117, 7477300
118, 7474888
119, 7483940
120, 7477616
121, 7485788
122, 7480788
123, 7476316
124, 7484992
125, 7482856
126, 7483920
127, 7487520
128, 7480432
129, 7479760
130, 7486724
131, 7480040
132, 7487860
133, 7485788
134, 7477140
135, 7483704
136, 7523816
137, 7494576
138, 7489652
139, 7471940
140, 7490004
141, 7484328
142, 7480480
143, 7488328
144, 7491944
145, 7489440
146, 7628340
147, 7505528
148, 7492576
149, 7484028
150, 7486044
151, 7487552
152, 7490432
153, 7482724
154, 7483252
155, 7477824
156, 7484172
157, 7489108
158, 7482976
159, 7490740
160, 7482464
161, 7475980
162, 7478276
163, 7491236
164, 7492016
165, 7482592
166, 7483824
167, 7480756
168, 7488668
169, 7484896
170, 7481640
171, 7490636
172, 7482736
173, 7479684
174, 7485136
175, 7492464
176, 7483336
177, 7482056
178, 7487404
179, 7618716
180, 7526476
181, 7577908
182, 7502704
183, 7478192
184, 7483980
185, 10951348
186, 7517192
187, 7498172
188, 7512884
189, 7498540
190, 7475104
191, 7503792
192, 7484356
193, 7505484
194, 7493052
195, 7484932
196, 7478820
197, 7481244
198, 7489004
199, 7483572
200, 7481472
