Ciclos,cant_clock
1, 3167678
2, 3839640
3, 4201875
4, 4966692
5, 3231137
6, 2922817
7, 2464272
8, 2460432
9, 2459232
10, 2496680
11, 2461820
12, 2459932
13, 2477940
14, 2460856
15, 2458360
16, 2493948
17, 2839052
18, 4018068
19, 2848100
20, 2568536
21, 2489416
22, 2463248
23, 2457612
24, 2518196
25, 2478436
26, 2461132
27, 2475876
28, 2461632
29, 2460752
30, 2461452
31, 2519580
32, 2459396
33, 2534516
34, 2462520
35, 2483312
36, 2459284
37, 2459332
38, 2477876
39, 2459640
40, 2460736
41, 2458696
42, 2476748
43, 2462764
44, 2459976
45, 2459316
46, 2482212
47, 2460420
48, 2457740
49, 2461976
50, 2473784
51, 2457848
52, 2457692
53, 2466212
54, 2459916
55, 2461744
56, 2458264
57, 2467280
58, 2459892
59, 2459200
60, 2460956
61, 2467412
62, 2460476
63, 2458328
64, 2465052
65, 2678304
66, 2682168
67, 2481604
68, 2484596
69, 2461572
70, 2456404
71, 2459824
72, 2470160
73, 2459264
74, 2458304
75, 2465416
76, 2460016
77, 2461612
78, 2459536
79, 2465508
80, 2457484
81, 2457744
82, 2459356
83, 2467524
84, 2461280
85, 2461636
86, 2459444
87, 2465932
88, 2462444
89, 2459080
90, 2467128
91, 2459164
92, 2461880
93, 2457612
94, 2468272
95, 2461056
96, 2458744
97, 2458276
98, 2464876
99, 2459580
100, 2458932
101, 2460100
102, 2462892
103, 2459680
104, 2461476
105, 2466628
106, 2461456
107, 2455960
108, 2461076
109, 2478288
110, 2460144
111, 2460616
112, 2570760
113, 2488208
114, 2463644
115, 2460032
116, 2479640
117, 2460188
118, 2458264
119, 2457792
120, 2483048
121, 2459732
122, 2459236
123, 2458168
124, 2476264
125, 2457924
126, 2459596
127, 2459532
128, 2480752
129, 2459020
130, 2459024
131, 2472072
132, 2459672
133, 2459860
134, 2456772
135, 2466012
136, 2461436
137, 2459196
138, 2460620
139, 2469000
140, 2463264
141, 2459388
142, 2460892
143, 2467192
144, 2460880
145, 2461700
146, 2467504
147, 2461416
148, 2459800
149, 2460888
150, 2469540
151, 2460588
152, 2458980
153, 2457764
154, 2465588
155, 2458076
156, 2461612
157, 2466336
158, 2459392
159, 2460844
160, 2460408
161, 2469272
162, 2462440
163, 2458664
164, 2460292
165, 2467048
166, 2463264
167, 2459328
168, 2461868
169, 2487156
170, 2462700
171, 2459492
172, 2470432
173, 2460940
174, 2460440
175, 2459064
176, 2466756
177, 2459272
178, 2460460
179, 2458508
180, 2467784
181, 2457732
182, 2457696
183, 2459024
184, 2468248
185, 2463348
186, 2457816
187, 2469332
188, 2460748
189, 2458288
190, 2460388
191, 2469068
192, 2460484
193, 2461236
194, 2457608
195, 2468428
196, 2459052
197, 2460556
198, 2466904
199, 2458676
200, 2456860
