Ciclos,cant_clock
1, 11700673
2, 12109942
3, 13009165
4, 14558955
5, 11528220
6, 11837965
7, 14486215
8, 13232587
9, 11596313
10, 11936790
11, 12968613
12, 14301921
13, 11864540
14, 12359540
15, 13530686
16, 13642425
17, 11689922
18, 12328580
19, 12958483
20, 14001364
